Token,Condition,Prefix2,Prefix1,Root,Suffix1,Suffix2,Wordlength,Monomorpheme,MonoPrefix2,MonoPrefix1,MonoRoot,MonoSuffix1,MonoSuffix2,ErrorPrefix2,ErrorPrefix1,ErrorRoot,ErrorSuffix1,ErrorSuffix2,ChangedIndexP2,ChangedIndexP1,ChangedIndexR,ChangedIndexS1,ChangedIndexS2,MonoErrorPrefix2,MonoErrorPrefix1,MonoErrorRoot,MonoErrorSuffix1,MonoErrorSuffix2,MonoChangedIndexP2,MonoChangedIndexP1,MonoChangedIndexR,MonoChangedIndexS1,MonoChangedIndexS2,errortype,Word1,Word2
unehufulable,pprs,in,pre,els,able,,12,nierplseelba,ni,erp,lse,elba,,anpreelsable,indreelsable,inpreolsable,inpreelsabwe,,0.0,0.0,0,2.0,,neerplseelba,nierhlseelba,nierprseelba,nierplseolba,,1.0,2.0,0,0.0,,MonoPrefix2,nierplseelba,neerplseelba
gage,pr,,in,gage,,,4,niaegg,,ni,aegg,,,,engage,ingade,,,,0.0,2,,,,naaegg,niaogg,,,,1.0,1,,,NoErrorMono,niaegg,niaegg
unegahful,ppr,pre,de,hidad,,,9,epreddhiad,epr,ed,dhiad,,,pmedehidad,pregehidad,predehidat,,,1.0,0.0,4,,,epweddhiad,eproddhiad,epreddhoad,,,2.0,0.0,2,,,NoErrorPoly,unegahful,unegahful
gage,pr,,de,yot,,,4,edtoy,,ed,toy,,,,dayot,derot,,,,1.0,0,,,,estoy,edsoy,,,,1.0,0,,,NoErrorMono,edtoy,edtoy
preunyot,rss,,,emso,ion,er,8,msoeniore,,,msoe,nio,re,,,omsoioner,emsoaoner,emsoionem,,,0,0.0,1.0,,,msaeniore,msoenaore,msoeniora,,,2,1.0,1.0,NoErrorMono,msoeniore,msoeniore
insopioner,pprs,de,pre,yot,ion,,10,edreptoynio,ed,rep,toy,nio,,dopreyotion,detreyotion,depreyetion,depreyotaon,,1.0,0.0,1,0.0,,ehreptoynio,edrestoynio,edreptomnio,edreptoyneo,,1.0,2.0,2,1.0,,MonoPrefix1,edreptoynio,edrestoynio
ehuioner,prss,,pre,rerg,er,ion,8,erprregrenio,,erp,rreg,re,nio,,brerergerion,preremgerion,prerergenion,prerergerior,,0.0,2,1.0,2.0,,irprregrenio,erpnregrenio,erprregrinio,erprregreneo,,0.0,0,1.0,1.0,NoErrorMono,erprregrenio,erprregrenio
ter,pr,,pre,emso,,,3,rpeosme,,rpe,osme,,,,pruemso,preamso,,,,2.0,0,,,,rceosme,rpeodme,,,,1.0,1,,,Root,ter,preamso
deels,rs,,,els,ion,,5,lesoni,,,les,oni,,,,ulsion,elsaon,,,,0,0.0,,,,letoni,lesono,,,,2,2.0,,MonoRoot,lesoni,letoni
deter,rs,,,gage,able,,5,egagebal,,,egag,ebal,,,,sageable,gageabla,,,,0,3.0,,,,egogebal,egagehal,,,,2,1.0,,NoErrorPoly,deter,deter
inunyot,rss,,,rerg,ful,able,7,rrgelufaleb,,,rrge,luf,aleb,,,rorgfulable,rergfuyable,rergfuladle,,,1,2.0,1.0,,,rngelufaleb,rrgelugaleb,rrgelufeleb,,,1,2.0,0.0,NoErrorPoly,inunyot,inunyot
deunehu,rss,,,els,er,ion,7,slereoni,,,sle,re,oni,,,elperion,elsemion,elserian,,,2,1.0,1.0,,,slareoni,sleneoni,slereona,,,2,0.0,2.0,Suffix1,deunehu,elsemion
egah,pr,,de,rerg,,,4,edrgre,,ed,rgre,,,,pererg,derorg,,,,0.0,1,,,,odrgre,edrhre,,,,0.0,1,,,Root,egah,derorg
rerg,pr,,pre,rerg,,,4,rperger,,rpe,rger,,,,prorerg,prerarg,,,,2.0,1,,,,rparger,rpergew,,,,2.0,3,,,NoErrorPoly,rerg,rerg
preinemso,rss,,,rerg,ion,er,9,greroinre,,,grer,oin,re,,,remgioner,rergaoner,rergionar,,,2,0.0,0.0,,,hreroinre,greriinre,greroinwe,,,0,0.0,0.0,NoErrorMono,greroinre,greroinre
emso,pr,,in,emso,,,4,niesom,,ni,esom,,,,iremso,inemse,,,,1.0,3,,,,riesom,niesow,,,,0.0,3,,,NoErrorPoly,emso,emso
elsfulable,prss,,de,egah,ion,er,10,edgaheniore,,ed,gahe,nio,re,,doegahioner,deegohioner,deegahianer,deegahionel,,1.0,2,1.0,1.0,,adgaheniore,edgiheniore,edgaheniere,edgaheniori,,0.0,1,2.0,1.0,Suffix2,elsfulable,deegahionel
emsofulable,prss,,pre,emso,er,ion,11,rpeosmerenio,,rpe,osme,re,nio,,pruemsoerion,preemsierion,preemsoewion,preemsoeroon,,2.0,3,1.0,0.0,,rteosmerenio,rpeosyerenio,rpeosmerunio,rpeosmerenie,,1.0,2,1.0,2.0,Root,emsofulable,preemsierion
deyotfulable,pprs,in,pre,yot,ful,,12,nierpotylfu,ni,erp,oty,lfu,,anpreyotful,intreyotful,inprerotful,inpreyotfur,,0.0,0.0,0,2.0,,noerpotylfu,nierdotylfu,nierpohylfu,nierpotylfe,,1.0,2.0,1,2.0,,MonoRoot,nierpotylfu,nierpohylfu
els,pr,,pre,yot,,,3,rpeyto,,rpe,yto,,,,sreyot,prerot,,,,0.0,0,,,,lpeyto,rperto,,,,0.0,0,,,NoErrorMono,rpeyto,rpeyto
preelsable,ppr,in,un,els,,,10,ninulse,ni,nu,lse,,,enunels,ininels,inunens,,,0.0,0.0,1,,,winulse,ninalse,ninumse,,,0.0,1.0,0,,,NoErrorMono,ninulse,ninulse
yot,r,,,yot,,,3,oty,,,oty,,,,,yog,,,,,2,,,,,ity,,,,,0,,,NoErrorPoly,yot,yot
indererg,rss,,,yot,ful,able,8,oytlfualeb,,,oyt,lfu,aleb,,,notfulable,yotfolable,yotfulatle,,,0,1.0,1.0,,,omtlfualeb,oytlfaaleb,oytlfuameb,,,1,2.0,1.0,NoErrorPoly,indererg,indererg
deehuerion,pprs,pre,de,sop,er,,10,peredposre,per,ed,pos,re,,pyedesoper,prehesoper,predesoter,predesopel,,1.0,0.0,2,1.0,,poredposre,perehposre,peredpocre,peredposne,,1.0,1.0,2,0.0,,Prefix2,deehuerion,pyedesoper
egah,pr,,un,hidad,,,4,nudadih,,nu,dadih,,,,onhidad,unhadad,,,,0.0,1,,,,mudadih,nudadif,,,,0.0,4,,,NoErrorPoly,egah,egah
deegahfulable,pprs,de,pre,emso,er,,13,edrepsmeore,ed,rep,smeo,re,,cepreemsoer,desreemsoer,depreamsoer,depreemsoem,,0.0,0.0,0,1.0,,idrepsmeore,ednepsmeore,edrepsneore,edrepsmeome,,0.0,0.0,1,0.0,,MonoPrefix2,edrepsmeore,idrepsmeore
gageableful,prss,,de,gage,ful,able,11,edeaggufllabe,,ed,eagg,ufl,labe,,dagagefulable,desagefulable,degagefumable,degagefuleble,,1.0,0,2.0,0.0,,eteaggufllabe,edaaggufllabe,edeaggusllabe,edeaggufllaba,,1.0,0,1.0,3.0,Suffix1,gageableful,degagefumable
elsioner,prss,,un,sop,ful,able,8,nuspoulfbael,,nu,spo,ulf,bael,,uysopfulable,unvopfulable,unsopfelable,unsopfulacle,,1.0,0,1.0,1.0,,nespoulfbael,nuspeulfbael,nuspouwfbael,nuspoulfbeel,,1.0,2,1.0,1.0,NoErrorMono,nuspoulfbael,nuspoulfbael
preyotful,ppr,in,un,ter,,,9,ninuert,ni,nu,ert,,,ilunter,inenter,inuntey,,,1.0,0.0,2,,,jinuert,nineert,ninuort,,,0.0,1.0,0,,,NoErrorPoly,preyotful,preyotful
deunsop,rss,,,rerg,ion,er,7,rregniore,,,rreg,nio,re,,,rersioner,rergioler,rergionel,,,3,2.0,1.0,,,rrehniore,rregneore,rregniowe,,,3,1.0,0.0,Suffix2,deunsop,rergionel
ehu,pr,,de,egah,,,3,edeahg,,ed,eahg,,,,doegah,deegeh,,,,1.0,2,,,,odeahg,edeaht,,,,0.0,3,,,NoErrorMono,edeahg,edeahg
egah,pr,,de,egah,,,4,edaegh,,ed,aegh,,,,seegah,deegas,,,,0.0,3,,,,idaegh,edaagh,,,,0.0,1,,,MonoRoot,edaegh,edaagh
rergableful,prss,,pre,sop,ful,able,11,erpospulfaleb,,erp,osp,ulf,aleb,,pmesopfulable,precopfulable,presopdulable,presopfulabla,,1.0,0,0.0,3.0,,elpospulfaleb,erposhulfaleb,erpospalfaleb,erpospulfareb,,1.0,2,0.0,1.0,Suffix1,rergableful,presopdulable
ehu,pr,,de,hidad,,,3,ediaddh,,ed,iaddh,,,,vehidad,detidad,,,,0.0,0,,,,etiaddh,ediaddp,,,,1.0,4,,,NoErrorMono,ediaddh,ediaddh
egah,pr,,un,hidad,,,4,nuddhai,,nu,ddhai,,,,anhidad,unhigad,,,,0.0,2,,,,neddhai,nuddhii,,,,1.0,3,,,MonoSuffix1,nuddhai,
unyotableful,pprs,in,de,egah,ion,,12,niedgeahoin,ni,ed,geah,oin,,irdeegahion,indiegahion,indeugahion,indeegahian,,1.0,1.0,0,1.0,,riedgeahoin,niadgeahoin,niedgaahoin,niedgeahiin,,0.0,0.0,1,0.0,,NoErrorPoly,unyotableful,unyotableful
egah,r,,,egah,,,4,ghae,,,ghae,,,,,ogah,,,,,0,,,,,gcae,,,,,1,,,NoErrorPoly,egah,egah
gageioner,prss,,un,hidad,able,ful,9,nudihdaealbflu,,nu,dihda,ealb,flu,,uyhidadableful,unhididableful,unhidadabmeful,unhidadablehul,,1.0,3,2.0,0.0,,mudihdaealbflu,nudiddaealbflu,nudihdaealtflu,nudihdaealbglu,,0.0,2,3.0,0.0,MonoRoot,nudihdaealbflu,nudiddaealbflu
preegah,rs,,,egah,ful,,7,geahufl,,,geah,ufl,,,,egapful,egahfum,,,,3,2.0,,,,geohufl,geahufr,,,,2,2.0,,NoErrorPoly,preegah,preegah
rergioner,prss,,in,hidad,able,ful,9,niidhdalbaeflu,,ni,idhda,lbae,flu,,anhidadableful,inhitadableful,inhidadasleful,inhidadabletul,,0.0,2,1.0,0.0,,miidhdalbaeflu,niidhvalbaeflu,niidhdalbaoflu,niidhdalbaefli,,0.0,3,3.0,2.0,NoErrorMono,niidhdalbaeflu,niidhdalbaeflu
inegahful,ppr,pre,de,rerg,,,9,peredrrge,per,ed,rrge,,,prudererg,predirerg,prederemg,,,2.0,1.0,2,,,paredrrge,peretrrge,peredrrga,,,1.0,1.0,3,,,NoErrorPoly,inegahful,inegahful
preyotful,ppr,in,de,ter,,,9,niedtre,ni,ed,tre,,,ildeter,inheter,indetem,,,1.0,0.0,2,,,riedtre,niodtre,niedhre,,,0.0,0.0,0,,,MonoRoot,niedtre,niedhre
preegahfulable,pprs,pre,in,yot,ion,,14,eprniotyoni,epr,ni,oty,oni,,prainyotion,preiwyotion,preinyetion,preinyotiol,,2.0,1.0,1,2.0,,iprniotyoni,eprmiotyoni,eprniatyoni,eprniotyoli,,0.0,0.0,0,1.0,,MonoSuffix1,eprniotyoni,eprniotyoli
deterer,ppr,de,pre,hidad,,,7,ederpiahdd,ed,erp,iahdd,,,teprehidad,debrehidad,deprehidas,,,0.0,0.0,4,,,eserpiahdd,edirpiahdd,ederpiehdd,,,1.0,0.0,1,,,NoErrorMono,ederpiahdd,ederpiahdd
inegahful,ppr,pre,de,ter,,,9,rpeedret,rpe,ed,ret,,,pwedeter,prepeter,predeser,,,1.0,0.0,0,,,rpaedret,rpeadret,rpeedref,,,2.0,0.0,2,,,Prefix2,inegahful,pwedeter
els,pr,,de,ehu,,,3,edeuh,,ed,euh,,,,daehu,deedu,,,,1.0,1,,,,eheuh,eduuh,,,,1.0,0,,,MonoPrefix1,edeuh,eheuh
ungageful,ppr,de,in,hidad,,,9,ednihidda,ed,ni,hidda,,,feinhidad,deiyhidad,deinhifad,,,0.0,1.0,2,,,ehnihidda,ednohidda,ednihipda,,,1.0,1.0,2,,,NoErrorMono,ednihidda,ednihidda
unegaher,ppr,de,un,rerg,,,8,ednugerr,ed,nu,gerr,,,geunrerg,deenrerg,deunrert,,,0.0,0.0,3,,,idnugerr,edlugerr,ednugerm,,,0.0,0.0,3,,,NoErrorPoly,unegaher,unegaher
indeemso,rss,,,rerg,ful,able,8,errglfualeb,,,errg,lfu,aleb,,,relgfulable,rerggulable,rergfuleble,,,2,0.0,0.0,,,eryglfualeb,errglfaaleb,errglfueleb,,,2,2.0,0.0,MonoSuffix1,errglfualeb,errglfaaleb
ter,pr,,un,yot,,,3,nuyto,,nu,yto,,,,enyot,unyat,,,,0.0,1,,,,muyto,nurto,,,,0.0,0,,,NoErrorMono,nuyto,nuyto
deyotful,ppr,pre,in,rerg,,,8,repniregr,rep,ni,regr,,,priinrerg,preilrerg,preinremg,,,2.0,1.0,2,,,recniregr,repnoregr,repniyegr,,,2.0,1.0,0,,,Prefix2,deyotful,priinrerg
presoperion,pprs,un,pre,rerg,ion,,11,nurpegrerino,nu,rpe,grer,ino,,uwprerergion,unplerergion,unpremergion,unprerergiom,,1.0,1.0,0,2.0,,murpegrerino,nujpegrerino,nurpetrerino,nurpegrerano,,0.0,0.0,0,0.0,,NoErrorMono,nurpegrerino,nurpegrerino
deinhidad,rss,,,ter,ion,er,9,retoinre,,,ret,oin,re,,,derioner,teraoner,terionen,,,0,0.0,1.0,,,metoinre,retoonre,retoinme,,,0,1.0,0.0,MonoSuffix2,retoinre,retoinre
hidad,r,,,hidad,,,5,dihda,,,dihda,,,,,hidah,,,,,4,,,,,disda,,,,,2,,,Root,hidad,hidah
sopfulable,prss,,pre,ehu,ion,er,10,erpuheonire,,erp,uhe,oni,re,,praehuioner,preeguioner,preehueoner,preehuionew,,2.0,1,0.0,1.0,,empuheonire,erpuhaonire,erpuheinire,erpuheonime,,1.0,2,0.0,0.0,NoErrorMono,erpuheonire,erpuheonire
inhidaderion,pprs,in,de,els,ion,,12,niedeslnoi,ni,ed,esl,noi,,iwdeelsion,inseelsion,indeemsion,indeelsien,,1.0,0.0,1,1.0,,needeslnoi,nieveslnoi,niedetlnoi,niedeslnoe,,1.0,1.0,1,2.0,,NoErrorPoly,inhidaderion,inhidaderion
inegaherion,pprs,in,pre,emso,ion,,11,nirpeoemsino,ni,rpe,oems,ino,,enpreemsoion,inpmeemsoion,inpreomsoion,inpreemsoeon,,0.0,1.0,0,0.0,,narpeoemsino,nimpeoemsino,nirpeaemsino,nirpeoemsiwo,,1.0,0.0,0,1.0,,Root,inegaherion,inpreomsoion
deehu,rs,,,ter,able,,5,etrealb,,,etr,ealb,,,,herable,tereble,,,,0,0.0,,,,otrealb,etreelb,,,,0,1.0,,MonoSuffix1,etrealb,etreelb
els,pr,,un,ter,,,3,nurte,,nu,rte,,,,anter,unher,,,,0.0,0,,,,nerte,nurce,,,,1.0,1,,,NoErrorMono,nurte,nurte
hidadioner,prss,,in,yot,able,ful,10,nitoyabelflu,,ni,toy,abel,flu,,iryotableful,inyosableful,inyotibleful,inyotabletul,,1.0,2,0.0,0.0,,nutoyabelflu,nigoyabelflu,nitoyibelflu,nitoyabelfmu,,1.0,0,0.0,1.0,NoErrorMono,nitoyabelflu,nitoyabelflu
ehu,pr,,in,gage,,,3,nigaeg,,ni,gaeg,,,,engage,ingagi,,,,0.0,3,,,,negaeg,nigaed,,,,1.0,3,,,NoErrorPoly,ehu,ehu
deunehu,rss,,,egah,able,ful,7,ehgalbeaflu,,,ehga,lbea,flu,,,ogahableful,egahebleful,egahablefel,,,0,0.0,1.0,,,ihgalbeaflu,ehgalbeeflu,ehgalbeafmu,,,0,3.0,1.0,NoErrorPoly,deunehu,deunehu
preinegah,rss,,,yot,ion,er,9,otyniore,,,oty,nio,re,,,yosioner,yotiomer,yotionel,,,2,2.0,1.0,,,otlniore,otyneore,otyniole,,,2,1.0,0.0,Suffix1,preinegah,yotiomer
unehu,rs,,,els,ful,,5,lseluf,,,lse,luf,,,,elpful,elshul,,,,2,0.0,,,,lteluf,lseluv,,,,1,2.0,,MonoSuffix1,lseluf,lseluv
preehu,rs,,,egah,able,,6,agehebla,,,ageh,ebla,,,,etahable,egahablo,,,,1,3.0,,,,ogehebla,agehabla,,,,0,0.0,,MonoRoot,agehebla,ogehebla
ehu,pr,,pre,ter,,,3,reptre,,rep,tre,,,,hreter,preser,,,,0.0,0,,,,redtre,reptri,,,,2.0,2,,,Prefix1,ehu,hreter
preelsableful,pprs,in,de,hidad,ful,,13,nieddiadhluf,ni,ed,diadh,luf,,endehidadful,indihidadful,indebidadful,indehidadhul,,0.0,1.0,0,0.0,,rieddiadhluf,niefdiadhluf,nieddiadpluf,nieddiadhlaf,,0.0,1.0,4,1.0,,MonoPrefix1,nieddiadhluf,niefdiadhluf
deunhidad,rss,,,emso,able,ful,9,semoaleblfu,,,semo,aleb,lfu,,,amsoableful,emsoebleful,emsoablefol,,,0,0.0,1.0,,,semaaleblfu,semoaliblfu,semoalebltu,,,3,2.0,1.0,Suffix1,deunhidad,emsoebleful
egaherion,prss,,un,rerg,er,ion,9,nurrgereoni,,nu,rrge,re,oni,,urrergerion,unrirgerion,unrergenion,unrergeriin,,1.0,1,1.0,1.0,,nerrgereoni,nurrgareoni,nurrgeweoni,nurrgereowi,,1.0,3,0.0,1.0,Prefix1,egaherion,urrergerion
inyotable,ppr,pre,de,rerg,,,9,erpedrgre,erp,ed,rgre,,,pyedererg,predarerg,prederorg,,,1.0,1.0,1,,,empedrgre,erpefrgre,erpedygre,,,1.0,1.0,0,,,NoErrorMono,erpedrgre,erpedrgre
egah,pr,,in,gage,,,4,niegga,,ni,egga,,,,iwgage,ingahe,,,,1.0,2,,,,neegga,niogga,,,,1.0,0,,,MonoPrefix1,niegga,neegga
inehu,rs,,,egah,ion,,5,gehanoi,,,geha,noi,,,,egation,egahiol,,,,3,2.0,,,,gehenoi,geharoi,,,,3,0.0,,Root,inehu,egation
hidad,pr,,in,sop,,,5,niosp,,ni,osp,,,,ansop,insep,,,,0.0,1,,,,neosp,niost,,,,1.0,2,,,Root,hidad,insep
rerg,pr,,pre,emso,,,4,eprsmeo,,epr,smeo,,,,kreemso,preemsa,,,,0.0,3,,,,aprsmeo,eprsmoo,,,,0.0,2,,,NoErrorPoly,rerg,rerg
deels,rs,,,ter,er,,5,retre,,,ret,re,,,,tarer,terey,,,,1,1.0,,,,resre,retye,,,,2,0.0,,MonoSuffix1,retre,retye
gage,r,,,gage,,,4,agge,,,agge,,,,,gase,,,,,2,,,,,agfe,,,,,2,,,NoErrorPoly,gage,gage
indeyot,rss,,,hidad,er,ion,7,ddaihrenoi,,,ddaih,re,noi,,,hidaherion,hidadeyion,hidaderoon,,,4,1.0,0.0,,,dtaihrenoi,ddaihmenoi,ddaihrenei,,,1,0.0,1.0,MonoSuffix2,ddaihrenoi,ddaihrenoi
els,pr,,un,hidad,,,3,nudahdi,,nu,dahdi,,,,uyhidad,unhihad,,,,1.0,2,,,,mudahdi,nudahsi,,,,0.0,3,,,NoErrorPoly,els,els
sop,pr,,un,emso,,,3,numeos,,nu,meos,,,,anemso,unenso,,,,0.0,1,,,,yumeos,numios,,,,0.0,1,,,MonoRoot,numeos,numios
inelsableful,pprs,un,pre,gage,ful,,12,nurpegaegulf,nu,rpe,gaeg,ulf,,enpregageful,unsregageful,unpresageful,unpregagedul,,0.0,0.0,0,0.0,,nerpegaegulf,nurtegaegulf,nurpegiegulf,nurpegaegulk,,1.0,1.0,1,2.0,,Root,inelsableful,unpresageful
deegaher,ppr,in,un,gage,,,8,ninuggae,ni,nu,ggae,,,onungage,inuwgage,inungate,,,0.0,1.0,2,,,yinuggae,nineggae,ninutgae,,,0.0,1.0,0,,,NoErrorMono,ninuggae,ninuggae
terioner,prss,,in,hidad,able,ful,8,nididahabelulf,,ni,didah,abel,ulf,,onhidadableful,inhidatableful,inhidadebleful,inhidadablefum,,0.0,4,0.0,2.0,,nudidahabelulf,nidisahabelulf,nididahabenulf,nididahabelalf,,1.0,2,3.0,0.0,NoErrorMono,nididahabelulf,nididahabelulf
hidad,pr,,un,emso,,,5,numose,,nu,mose,,,,umemso,unimso,,,,1.0,0,,,,rumose,numobe,,,,0.0,2,,,Root,hidad,unimso
ehufulable,prss,,in,rerg,ion,er,10,nigreroinre,,ni,grer,oin,re,,onrergioner,inwergioner,inrergiomer,inrergionel,,0.0,0,2.0,1.0,,rigreroinre,nipreroinre,nigreroiwre,nigreroinwe,,0.0,0,2.0,0.0,NoErrorPoly,ehufulable,ehufulable
els,pr,,de,yot,,,3,edtyo,,ed,tyo,,,,dayot,derot,,,,1.0,0,,,,adtyo,edtyi,,,,0.0,2,,,NoErrorPoly,els,els
deemsoion,ppr,pre,un,ehu,,,9,rpenuheu,rpe,nu,heu,,,hreunehu,preanehu,preunehi,,,0.0,0.0,2,,,rpanuheu,rpenoheu,rpenuhiu,,,2.0,1.0,1,,,Prefix2,deemsoion,hreunehu
unemsoable,ppr,de,in,rerg,,,10,edniergr,ed,ni,ergr,,,seinrerg,deiyrerg,deinrurg,,,0.0,1.0,1,,,odniergr,edneergr,edniemgr,,,0.0,1.0,1,,,MonoPrefix2,edniergr,odniergr
unyotfulable,pprs,un,pre,hidad,able,,12,nuperadihdebla,nu,per,adihd,ebla,,uwprehidadable,unplehidadable,unpretidadable,unprehidadabme,,1.0,1.0,0,2.0,,niperadihdebla,nupewadihdebla,nuperadiddebla,nuperadihdebya,,1.0,2.0,3,2.0,,Prefix1,unyotfulable,unplehidadable
ter,pr,,pre,hidad,,,3,eprhaddi,,epr,haddi,,,,pmehidad,prehidag,,,,1.0,4,,,,ehrhaddi,eprpaddi,,,,1.0,0,,,MonoRoot,eprhaddi,eprpaddi
deunhidad,rss,,,gage,ion,er,9,eaggniore,,,eagg,nio,re,,,gogeioner,gageaoner,gageionir,,,1,0.0,0.0,,,oaggniore,eaggniire,eaggnioru,,,0,2.0,1.0,NoErrorPoly,deunhidad,deunhidad
ingage,rs,,,ter,ion,,6,ertino,,,ert,ino,,,,teyion,terior,,,,2,2.0,,,,ewtino,ertuno,,,,1,0.0,,NoErrorMono,ertino,ertino
preels,rs,,,yot,er,,6,ytore,,,yto,re,,,,roter,yoten,,,,0,1.0,,,,ntore,ytome,,,,0,0.0,,NoErrorMono,ytore,ytore
preemso,rs,,,els,ion,,7,sleoni,,,sle,oni,,,,alsion,elsaon,,,,0,0.0,,,,sreoni,sleoyi,,,,1,1.0,,MonoSuffix1,sleoni,sleoyi
els,pr,,de,yot,,,3,edtyo,,ed,tyo,,,,dayot,derot,,,,1.0,0,,,,adtyo,edtyi,,,,0.0,2,,,Root,els,derot
hidad,r,,,hidad,,,5,ahidd,,,ahidd,,,,,hided,,,,,3,,,,,ehidd,,,,,0,,,NoErrorPoly,hidad,hidad
deelsful,ppr,pre,un,yot,,,8,pernutoy,per,nu,toy,,,dreunyot,preulyot,preunyos,,,0.0,1.0,2,,,pemnutoy,pernotoy,pernugoy,,,2.0,1.0,0,,,NoErrorMono,pernutoy,pernutoy
uninter,rss,,,rerg,ion,er,7,rgreoinre,,,rgre,oin,re,,,remgioner,rergianer,rergionem,,,2,1.0,1.0,,,rgmeoinre,rgreoirre,rgreoinri,,,2,2.0,1.0,NoErrorMono,rgreoinre,rgreoinre
deyot,rs,,,egah,er,,5,eaghre,,,eagh,re,,,,egader,egahem,,,,3,1.0,,,,eakhre,eaghro,,,,2,1.0,,NoErrorMono,eaghre,eaghre
unehu,rs,,,emso,able,,5,oesmealb,,,oesm,ealb,,,,imsoable,emsoafle,,,,0,1.0,,,,oosmealb,oesmearb,,,,1,2.0,,Suffix1,unehu,emsoafle
els,pr,,pre,emso,,,3,repmsoe,,rep,msoe,,,,proemso,preemse,,,,2.0,3,,,,recmsoe,repmboe,,,,2.0,1,,,NoErrorMono,repmsoe,repmsoe
presop,rs,,,gage,ful,,6,ggaeluf,,,ggae,luf,,,,sageful,gagesul,,,,0,0.0,,,,ggoeluf,ggaelut,,,,2,2.0,,NoErrorPoly,presop,presop
preelser,ppr,de,in,rerg,,,8,ednirrge,ed,ni,rrge,,,heinrerg,deanrerg,deinrert,,,0.0,0.0,3,,,etnirrge,edlirrge,ednirlge,,,1.0,0.0,1,,,Root,preelser,deinrert
deunels,rss,,,sop,ion,er,7,ospinore,,,osp,ino,re,,,sipioner,sopioler,sopionel,,,1,2.0,1.0,,,oshinore,ospinare,ospinole,,,2,2.0,0.0,Suffix2,deunels,sopionel
deehu,rs,,,hidad,er,,5,idahdre,,,idahd,re,,,,hidoder,hidaden,,,,3,1.0,,,,idahcre,idahdye,,,,4,0.0,,Root,deehu,hidoder
