first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
errioflaéti,errioflaéti,prss,p,ss,riof,er,la_éti,errioflaéti,control,p,0.0,0,e,i,irrioflaéti,0
surenreim,surenreim,ppr,pp,,reim,sur_en,,surenreim,target,p,0.0,2,r,l,sulenreim,0
ertiamtnemeria,ertiamtnemeria,prss,p,ss,tiam,er,tnem_eria,ertiamtnemeria,control,s,1.0,3,a,e,ertiamtnemerie,0
certiquement,certiquement,rss,,ss,cert,,ique_ment,certiquement,target,r,,0,c,p,pertiquement,0
surencommentaire,surencommentaire,pprss,pp,ss,com,sur_en,ment_aire,surencommentaire,target,s,1.0,0,a,o,surencommentoire,0
lansanteliste,lansanteliste,rsss,,sss,lans,,ant_el_iste,lansanteliste,target,r,,2,n,r,larsanteliste,0
mièrionelment,mièrionelment,rsss,,sss,mièr,,ion_el_ment,mièrionelment,target,s,0.0,0,i,e,mièreonelment,0
prémaitant,préraitant,prs,p,s,mait,pré,ant,prémaitant,target,r,,0,m,r,préraitant,1
tuélité,tuélite,rs,,s,tuél,,ité,tuélité,target,s,0.0,2,é,e,tuélite,1
repoulment,repoulment,prs,p,s,poul,re,ment,repoulment,target,s,0.0,0,m,l,repoullent,0
erniédridtna,erniédridtna,ppprs,ppp,s,rid,er_ni_éd,tna,erniédridtna,control,r,,1,i,e,erniédredtna,0
toidtnemeria,toidtnemelia,rss,,ss,toid,,tnem_eria,toidtnemeria,control,s,1.0,1,r,l,toidtnemelia,1
niédlémla,niédlémla,pprs,pp,s,lém,ni_éd,la,niédlémla,control,p,0.0,0,n,l,liédlémla,0
insurtart,insurtamt,ppr,pp,,tart,in_sur,,insurtart,target,r,,2,r,m,insurtamt,1
édtroc,édtroc,pr,p,,troc,éd,,édtroc,control,r,,2,o,u,édtruc,0
souscomionelité,souscomionelité,prsss,p,sss,com,sous,ion_el_ité,souscomionelité,target,s,1.0,0,e,i,souscomionilité,0
érpercibnoieria,érperciznoieria,pprss,pp,ss,cib,érp_er,noi_eria,érpercibnoieria,control,r,,2,b,z,érperciznoieria,1
toidla,toidla,rs,,s,toid,,la,toidla,control,s,0.0,0,l,r,toidra,0
léuttneleetsi,léuctneleetsi,rsss,,sss,léut,,tne_le_etsi,léuttneleetsi,control,r,,3,t,c,léuctneleetsi,1
érpernimier,érpirnimier,pppr,ppp,,mier,érp_er_ni,,érpernimier,control,p,1.0,0,e,i,érpirnimier,1
sédninaséti,sédninasati,pprs,pp,s,nas,séd_ni,éti,sédninaséti,control,s,0.0,0,é,a,sédninasati,1
surentartionelment,surentarcionelment,pprsss,pp,sss,tart,sur_en,ion_el_ment,surentartionelment,target,r,,3,t,c,surentarcionelment,1
ernuajnoieria,ernuarnoieria,prss,p,ss,nuaj,er,noi_eria,ernuajnoieria,control,r,,3,j,r,ernuarnoieria,1
retronmentaire,retrormentaire,prss,p,ss,tron,re,ment_aire,retronmentaire,target,r,,3,n,r,retrormentaire,1
rebafalité,rebafalité,prss,p,ss,baf,re,al_ité,rebafalité,target,p,0.0,0,r,m,mebafalité,0
enjaun,eljaun,pr,p,,jaun,en,,enjaun,target,p,0.0,1,n,l,eljaun,1
erniédlif,erniédluf,pppr,ppp,,lif,er_ni_éd,,erniédlif,control,r,,1,i,u,erniédluf,1
suossnal,suossnel,pr,p,,snal,suos,,suossnal,control,r,,2,a,e,suossnel,1
vérptnaleetsi,vérphnaleetsi,rsss,,sss,vérp,,tna_le_etsi,vérptnaleetsi,control,s,0.0,0,t,h,vérphnaleetsi,1
préreinbafeur,préreinbafeur,ppprs,ppp,s,baf,pré_re_in,eur,préreinbafeur,target,r,,0,b,s,préreinsafeur,0
erniédridtnaleetsi,erniédridtnaleetsi,ppprsss,ppp,sss,rid,er_ni_éd,tna_le_etsi,erniédridtnaleetsi,control,r,,2,d,v,erniédrivtnaleetsi,0
érpernicibrue,érpernicibrue,ppprs,ppp,s,cib,érp_er_ni,rue,érpernicibrue,control,s,0.0,2,e,u,érpernicibruu,0
redéjaunionelisme,redéjaunionelisme,pprsss,pp,sss,jaun,re_dé,ion_el_isme,redéjaunionelisme,target,s,0.0,1,o,é,redéjauniénelisme,0
prérefoirmentaire,prérefoirmenxaire,pprss,pp,ss,foir,pré_re,ment_aire,prérefoirmentaire,target,s,0.0,3,t,x,prérefoirmenxaire,1
érpertôlbtnemeria,érpertôlbtnemeria,pprss,pp,ss,tôlb,érp_er,tnem_eria,érpertôlbtnemeria,control,p,1.0,1,r,l,érpeltôlbtnemeria,0
erédtrocnoiletnem,erédtrocnoiletnem,pprsss,pp,sss,troc,er_éd,noi_le_tnem,erédtrocnoiletnem,control,p,0.0,1,r,l,elédtrocnoiletnem,0
diotionelité,diotionelité,rsss,,sss,diot,,ion_el_ité,diotionelité,target,r,,2,o,e,dietionelité,0
érpédlémtneleetsi,érpédlémtneleetsi,pprsss,pp,sss,lém,érp_éd,tne_le_etsi,érpédlémtneleetsi,control,p,1.0,1,d,b,érpéblémtneleetsi,0
reinfilent,leinfilent,pprs,pp,s,fil,re_in,ent,reinfilent,target,p,0.0,0,r,l,leinfilent,1
remièrion,remièrion,prs,p,s,mièr,re,ion,remièrion,target,r,,2,è,o,remiorion,0
préreintronant,préreintronant,ppprs,ppp,s,tron,pré_re_in,ant,préreintronant,target,s,0.0,0,a,i,préreintronint,0
ernirustrecnoiletnem,ernirustrecnoiletnem,ppprsss,ppp,sss,trec,er_ni_rus,noi_le_tnem,ernirustrecnoiletnem,control,s,0.0,0,n,m,ernirustrecmoiletnem,0
érpsédnicibnoileemsi,érpsédnicebnoileemsi,ppprsss,ppp,sss,cib,érp_séd_ni,noi_le_emsi,érpsédnicibnoileemsi,control,r,,1,i,e,érpsédnicebnoileemsi,1
russiat,ressiat,pr,p,,siat,rus,,russiat,control,p,0.0,1,u,e,ressiat,1
siatnoileemsi,siatnoileemsi,rsss,,sss,siat,,noi_le_emsi,siatnoileemsi,control,r,,2,a,e,sietnoileemsi,0
suostoidnoileéti,suostoidnoileéti,prsss,p,sss,toid,suos,noi_le_éti,suostoidnoileéti,control,r,,3,d,h,suostoihnoileéti,0
reinsurmaitalité,reinsurmaitalité,ppprss,ppp,ss,mait,re_in_sur,al_ité,reinsurmaitalité,target,s,1.0,0,i,e,reinsurmaitaleté,0
mièrenteliste,miènenteliste,rsss,,sss,mièr,,ent_el_iste,mièrenteliste,target,r,,3,r,n,miènenteliste,1
ervérpnoileemsi,ervérpnoileemsi,prsss,p,sss,vérp,er,noi_le_emsi,ervérpnoileemsi,control,r,,2,r,m,ervémpnoileemsi,0
niretnicibnoile,niretnicivnoile,pprss,pp,ss,cib,ni_retni,noi_le,niretnicibnoile,control,r,,2,b,v,niretnicivnoile,1
ernirusrid,ernirusrid,pppr,ppp,,rid,er_ni_rus,,ernirusrid,control,p,1.0,0,n,l,erlirusrid,0
ernirustrectnaleetsi,ernirustrectnalaetsi,ppprsss,ppp,sss,trec,er_ni_rus,tna_le_etsi,ernirustrectnaleetsi,control,s,1.0,1,e,a,ernirustrectnalaetsi,1
érpédluop,érpéfluop,ppr,pp,,luop,érp_éd,,érpédluop,control,p,1.0,1,d,f,érpéfluop,1
ertiob,ergiob,pr,p,,tiob,er,,ertiob,control,r,,0,t,g,ergiob,1
silent,silint,rs,,s,sil,,ent,silent,target,s,0.0,0,e,i,silint,1
niuoskal,niuoskal,ppr,pp,,kal,ni_uos,,niuoskal,control,p,0.0,0,n,r,riuoskal,0
érpnisuostrocnoileemsi,érpnisuostrocnouleemsi,ppprsss,ppp,sss,troc,érp_ni_suos,noi_le_emsi,érpnisuostrocnoileemsi,control,s,0.0,2,i,u,érpnisuostrocnouleemsi,1
retronent,rétronent,prs,p,s,tron,re,ent,retronent,target,p,0.0,1,e,é,rétronent,1
reprévment,resrévment,prs,p,s,prév,re,ment,reprévment,target,r,,0,p,s,resrévment,1
édcibnoileéti,éscibnoileéti,prsss,p,sss,cib,éd,noi_le_éti,édcibnoileéti,control,p,0.0,1,d,s,éscibnoileéti,1
érpertiob,érpertiob,ppr,pp,,tiob,érp_er,,érpertiob,control,r,,3,b,c,érpertioc,0
prérepréventeliste,prérepréventeliste,pprsss,pp,sss,prév,pré_re,ent_el_iste,prérepréventeliste,target,p,1.0,0,r,m,prémepréventeliste,0
taisment,taisment,rs,,s,tais,,ment,taisment,target,s,0.0,2,n,m,taismemt,0
norttna,norttna,rs,,s,nort,,tna,norttna,control,s,0.0,0,t,s,nortsna,0
siattnem,suattnem,rs,,s,siat,,tnem,siattnem,control,r,,1,i,u,suattnem,1
retuélionelment,retuélionelment,prsss,p,sss,tuél,re,ion_el_ment,retuélionelment,target,p,0.0,1,e,a,ratuélionelment,0
décrusalité,décrusalité,prss,p,ss,crus,dé,al_ité,décrusalité,target,p,0.0,0,d,v,vécrusalité,0
erédfabnoileemsi,erédfabnoileemsi,pprsss,pp,sss,fab,er_éd,noi_le_emsi,erédfabnoileemsi,control,p,1.0,0,é,o,erodfabnoileemsi,0
mièreur,mièreur,rs,,s,mièr,,eur,mièreur,target,s,0.0,2,r,l,mièreul,0
nuajlaemsi,nuajlaemsi,rss,,ss,nuaj,,la_emsi,nuajlaemsi,control,r,,1,u,o,noajlaemsi,0
resaniquement,resaliquement,prss,p,ss,san,re,ique_ment,resaniquement,target,r,,2,n,l,resaliquement,1
indéméliveité,indéméliveipé,pprss,pp,ss,mél,in_dé,ive_ité,indéméliveité,target,s,1.0,1,t,p,indéméliveipé,1
relansionel,relansionel,prss,p,ss,lans,re,ion_el,relansionel,target,r,,0,l,n,renansionel,0
ersnalrue,ersnalrue,prs,p,s,snal,er,rue,ersnalrue,control,s,0.0,1,u,o,ersnalroe,0
erniédriofleéti,erniédriofleéti,ppprss,ppp,ss,riof,er_ni_éd,le_éti,erniédriofleéti,control,p,1.0,1,i,o,ernoédriofleéti,0
erniédvérpéti,erniédvérséti,ppprs,ppp,s,vérp,er_ni_éd,éti,erniédvérpéti,control,r,,3,p,s,erniédvérséti,1
reinbicionelisme,ruinbicionelisme,pprsss,pp,sss,bic,re_in,ion_el_isme,reinbicionelisme,target,p,0.0,1,e,u,ruinbicionelisme,1
reinsurblôtalisme,reinsurblôtanisme,ppprss,ppp,ss,blôt,re_in_sur,al_isme,reinsurblôtalisme,target,s,0.0,1,l,n,reinsurblôtanisme,1
érpernitoidtnemeria,érpernitoidtnemeria,ppprss,ppp,ss,toid,érp_er_ni,tnem_eria,érpernitoidtnemeria,control,p,1.0,0,e,o,érpornitoidtnemeria,0
