first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
undisguise,undisgeise,ppr,un_dis,guise,,undisguise,target,r,,1,u,e,undisgeise,1
naturalize,naturalize,rss,,natur,al_ize,naturalize,target,r,,2,t,s,nasuralize,0
distinct,distinct,r,,distinct,,distinct,control,r,,4,i,e,distenct,0
naturalisticly,naturalisticly,rssss,,natur,al_ist_ic_ly,naturalisticly,target,r,,0,n,y,yaturalisticly,0
impractically,impractically,prsss,im,pract,ic_al_ly,impractically,target,r,,4,t,b,impracbically,0
reinstateable,reinstatoable,pprs,re_in,state,able,reinstateable,target,r,,4,e,o,reinstatoable,1
nonsensically,nonsensicilly,prsss,non,sens,ic_al_ly,nonsensically,target,s,1.0,0,a,i,nonsensicilly,1
misuse,misuse,pr,mis,use,,misuse,target,p,0.0,2,s,g,miguse,0
unpremedidate,unpremedidate,ppr,un_pre,medidate,,unpremedidate,target,r,,1,e,o,unpremodidate,0
pinnacle,pilnacle,r,,pinnacle,,pinnacle,control,r,,2,n,l,pilnacle,1
invalidation,invalidation,prss,in,valid,at_ion,invalidation,target,p,0.0,0,i,e,envalidation,0
reconcilement,reconcilement,prs,re,concile,ment,reconcilement,target,r,,2,n,y,recoycilement,0
emancipation,emancipation,rs,,emancipat,ion,emancipation,target,r,,8,t,c,emancipacion,0
money,miney,r,,money,,money,control,r,,1,o,i,miney,1
activational,ictivational,rssss,,act,iv_at_ion_al,activational,target,r,,0,a,i,ictivational,1
prime,prima,r,,prime,,prime,control,r,,4,e,a,prima,1
figuratively,figurativemy,rsss,,figur,at_ive_ly,figuratively,target,s,2.0,0,l,m,figurativemy,1
rediscover,rediscover,ppr,re_dis,cover,,rediscover,target,r,,0,c,s,redissover,0
figuratively,figuratidely,rsss,,figur,at_ive_ly,figuratively,target,s,1.0,1,v,d,figuratidely,1
mingle,wingle,r,,mingle,,mingle,control,r,,0,m,w,wingle,1
quizzically,quizzically,rsss,,quizz,ic_al_ly,quizzically,target,s,2.0,1,y,n,quizzicalln,0
support,suppert,r,,support,,support,control,r,,4,o,e,suppert,1
sagittarius,sagittarius,r,,sagittarius,,sagittarius,control,r,,4,t,h,sagihtarius,0
standard,standard,r,,standard,,standard,control,r,,3,n,l,staldard,0
submit,submit,r,,submit,,submit,control,r,,4,i,a,submat,0
valentine,valentine,r,,valentine,,valentine,control,r,,2,l,w,vawentine,0
scepticism,dcepticism,rs,,sceptic,ism,scepticism,target,r,,0,s,d,dcepticism,1
disapporve,disapporve,pr,dis,apporve,,disapporve,target,r,,3,o,e,disapperve,0
activational,acsivational,rssss,,act,iv_at_ion_al,activational,target,r,,2,t,s,acsivational,1
space,space,r,,space,,space,control,r,,2,a,e,spece,0
reimbursable,reimbursable,pprs,re_im,burs,able,reimbursable,target,p,0.0,0,r,m,meimbursable,0
sensationalist,sinsationalist,rssss,,sens,at_ion_al_ist,sensationalist,target,r,,1,e,i,sinsationalist,1
unbeknownst,unbeknonnst,pprss,un_be,know,n_st,unbeknownst,target,r,,3,w,n,unbeknonnst,1
impractically,impracticelly,prsss,im,pract,ic_al_ly,impractically,target,s,1.0,0,a,e,impracticelly,1
disbar,disbar,pr,dis,bar,,disbar,target,p,0.0,1,i,e,desbar,0
rottenly,wottenly,rss,,rott,en_ly,rottenly,target,r,,0,r,w,wottenly,1
unthankfulness,ulthankfulness,prss,un,thank,ful_ness,unthankfulness,target,p,0.0,1,n,l,ulthankfulness,1
tambourine,tambourina,r,,tambourine,,tambourine,control,r,,9,e,a,tambourina,1
search,bearch,r,,search,,search,control,r,,0,s,b,bearch,1
restaurant,restaorant,r,,restaurant,,restaurant,control,r,,5,u,o,restaorant,1
clear,clear,r,,clear,,clear,control,r,,0,c,s,slear,0
define,defane,r,,define,,define,control,r,,3,i,a,defane,1
client,claent,r,,client,,client,control,r,,2,i,a,claent,1
short,short,r,,short,,short,control,r,,2,o,a,shart,0
print,trint,r,,print,,print,control,r,,0,p,t,trint,1
redeactivate,radeactivate,pprss,re_de,act,iv_ate,redeactivate,target,p,0.0,1,e,a,radeactivate,1
drive,drive,r,,drive,,drive,control,r,,3,v,t,drite,0
absolute,ebsolute,r,,absolute,,absolute,control,r,,0,a,e,ebsolute,1
disembark,disemcark,ppr,dis_em,bark,,disembark,target,r,,0,b,c,disemcark,1
search,siarch,r,,search,,search,control,r,,1,e,i,siarch,1
unbeknownst,unbeknownst,pprss,un_be,know,n_st,unbeknownst,target,s,1.0,0,s,t,unbeknowntt,0
cantaloupe,cantaloupe,r,,cantaloupe,,cantaloupe,control,r,,3,t,p,canpaloupe,0
between,between,r,,between,,between,control,r,,3,w,l,betleen,0
premistake,premistake,ppr,pre_mis,take,,premistake,target,r,,0,t,s,premissake,0
caterpillar,caterpirlar,r,,caterpillar,,caterpillar,control,r,,7,l,r,caterpirlar,1
board,baard,r,,board,,board,control,r,,1,o,a,baard,1
marshall,manshall,r,,marshall,,marshall,control,r,,2,r,n,manshall,1
phenomenon,phenomenon,r,,phenomenon,,phenomenon,control,r,,3,n,w,phewomenon,0
reoutsmart,reoutsmart,ppr,re_out,smart,,reoutsmart,target,r,,3,r,m,reoutsmamt,0
salmonella,salmonella,r,,salmonella,,salmonella,control,r,,9,a,u,salmonellu,0
unevently,uneventlr,prs,un,event,ly,unevently,target,s,0.0,1,y,r,uneventlr,1
parasite,purasite,r,,parasite,,parasite,control,r,,1,a,u,purasite,1
leprechaun,leprechaun,r,,leprechaun,,leprechaun,control,r,,9,n,w,leprechauw,0
demonically,demonically,rsss,,demon,ic_al_ly,demonically,target,r,,3,o,e,demenically,0
