first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
pookmentally,pookmentally,rsss,,sss,pook,,ment_al_ly,pookmentally,target,r,,2,o,e,poekmentally,0
ersimnurdtsiciyl,ersimnurdtsiciyl,pprsss,pp,sss,nurd,er_sim,tsi_ci_yl,ersimnurdtsiciyl,control,p,1.0,1,i,o,ersomnurdtsiciyl,0
mitek,mitek,pr,p,,tek,mi,,mitek,control,p,0.0,1,i,o,motek,0
naettnemlayl,naettnemlayl,rsss,,sss,naet,,tnem_la_yl,naettnemlayl,control,r,,0,n,r,raettnemlayl,0
kooplufylssen,kooplufylssen,rsss,,sss,koop,,luf_yl_ssen,kooplufylssen,control,r,,3,p,c,kooclufylssen,0
reindrunate,reindrunase,pprs,pp,s,drun,re_in,ate,reindrunate,target,s,0.0,1,t,s,reindrunase,1
redecarpation,redecarpetion,pprs,pp,s,carp,re_de,ation,redecarpation,target,s,0.0,0,a,e,redecarpetion,1
errevopurt,errevapurt,ppr,pp,,purt,er_revo,,errevopurt,control,p,1.0,3,o,a,errevapurt,1
nunitek,nunitek,ppr,pp,,tek,nu_ni,,nunitek,control,p,1.0,1,i,o,nunotek,0
kealmentally,keawmentally,rsss,,sss,keal,,ment_al_ly,kealmentally,target,r,,3,l,w,keawmentally,1
marsuoiyl,marsuoiyl,rss,,ss,mar,,suoi_yl,marsuoiyl,control,s,1.0,1,l,r,marsuoiyr,0
interfommentally,interfommentally,prsss,p,sss,fom,inter,ment_al_ly,interfommentally,target,s,0.0,2,n,m,interfommemtally,0
nurdnoitala,murdnoitala,rss,,ss,nurd,,noita_la,nurdnoitala,control,r,,0,n,m,murdnoitala,1
girt,sirt,r,,,girt,,,girt,target,r,,0,g,s,sirt,1
erpedtekylssen,erpedtekymssen,pprss,pp,ss,tek,erp_ed,yl_ssen,erpedtekylssen,control,s,0.0,1,l,m,erpedtekymssen,1
gejyl,gejyl,rs,,s,gej,,yl,gejyl,control,r,,2,j,r,geryl,0
jegable,jegable,rs,,s,jeg,,able,jegable,target,s,0.0,3,e,i,jegabli,0
niluorla,niluerla,prs,p,s,luor,ni,la,niluorla,control,r,,2,o,e,niluerla,1
reoutbelsfulness,reoutbelgfulness,pprss,pp,ss,bels,re_out,ful_ness,reoutbelsfulness,target,r,,3,s,g,reoutbelgfulness,1
dewisically,dawisically,prsss,p,sss,wis,de,ic_al_ly,dewisically,target,p,0.0,1,e,a,dawisically,1
uninbodmentally,uninbodmentally,pprsss,pp,sss,bod,un_in,ment_al_ly,uninbodmentally,target,s,1.0,0,a,u,uninbodmentully,0
probodically,probedically,prsss,p,sss,bod,pro,ic_al_ly,probodically,target,r,,1,o,e,probedically,1
erpsidromcilayl,erpsidromcilayl,pprsss,pp,sss,rom,erp_sid,ci_la_yl,erpsidromcilayl,control,r,,2,m,w,erpsidrowcilayl,0
errevolaekcilayl,errevolaekhilayl,pprsss,pp,sss,laek,er_revo,ci_la_yl,errevolaekcilayl,control,s,0.0,0,c,h,errevolaekhilayl,1
ercolglatsici,ercomglatsici,prsss,p,sss,colg,er,la_tsi_ci,ercolglatsici,control,r,,2,l,m,ercomglatsici,1
orpsarptnem,orpsarptnem,prs,p,s,sarp,orp,tnem,orpsarptnem,control,s,0.0,2,e,o,orpsarptnom,0
colglayl,colglayl,rss,,ss,colg,,la_yl,colglayl,control,s,0.0,1,a,i,colgliyl,0
werklatsici,werklathici,rsss,,sss,werk,,la_tsi_ci,werklatsici,control,s,1.0,1,s,h,werklathici,1
reoverram,reoverram,ppr,pp,,ram,re_over,,reoverram,target,r,,1,a,o,reoverrom,0
overpras,overpras,pr,p,,pras,over,,overpras,target,r,,3,s,k,overprak,0
uninclatfully,uminclatfully,pprss,pp,ss,clat,un_in,ful_ly,uninclatfully,target,p,0.0,1,n,m,uminclatfully,1
orpnurd,orpnurd,pr,p,,nurd,orp,,orpnurd,control,r,,0,n,m,orpmurd,0
imrien,imrien,pr,p,,rien,im,,imrien,target,r,,0,r,l,imlien,0
heediously,heediously,rss,,ss,heed,,ious_ly,heediously,target,s,1.0,1,y,m,heediouslm,0
ersimteklayl,ersimteklayl,pprss,pp,ss,tek,er_sim,la_yl,ersimteklayl,control,p,0.0,0,e,u,ursimteklayl,0
redispont,redistont,ppr,pp,,pont,re_dis,,redispont,target,r,,0,p,t,redistont,1
eredslebtnem,eredslebtnem,pprs,pp,s,sleb,er_ed,tnem,eredslebtnem,control,s,0.0,2,e,i,eredslebtnim,0
jegate,jegate,rs,,s,jeg,,ate,jegate,target,r,,0,j,r,regate,0
progirtment,progirtmont,prs,p,s,girt,pro,ment,progirtment,target,s,0.0,1,e,o,progirtmont,1
eredtalctnemlayl,erestalctnemlayl,pprsss,pp,sss,talc,er_ed,tnem_la_yl,eredtalctnemlayl,control,p,1.0,1,d,s,erestalctnemlayl,1
eddobcilayl,eddobcalayl,prsss,p,sss,dob,ed,ci_la_yl,eddobcilayl,control,s,0.0,1,i,a,eddobcalayl,1
mormentally,mormentally,rsss,,sss,mor,,ment_al_ly,mormentally,target,s,1.0,1,l,w,mormentawly,0
romlatsici,romlatsici,rsss,,sss,rom,,la_tsi_ci,romlatsici,control,r,,2,m,r,rorlatsici,0
nimartnemla,nimartnemlo,prss,p,ss,mar,ni,tnem_la,nimartnemla,control,s,1.0,1,a,o,nimartnemlo,1
uninbodance,uninbodunce,pprs,pp,s,bod,un_in,ance,uninbodance,target,s,0.0,0,a,u,uninbodunce,1
maerla,maerle,rs,,s,maer,,la,maerla,control,s,0.0,1,a,e,maerle,1
unroulate,unroulahe,prs,p,s,roul,un,ate,unroulate,target,s,0.0,1,t,h,unroulahe,1
remisbelsisticly,remisbalsisticly,pprsss,pp,sss,bels,re_mis,ist_ic_ly,remisbelsisticly,target,r,,1,e,a,remisbalsisticly,1
jeglyness,jeglrness,rss,,ss,jeg,,ly_ness,jeglyness,target,s,0.0,1,y,r,jeglrness,1
laekyl,leekyl,rs,,s,laek,,yl,laekyl,control,r,,1,a,e,leekyl,1
premispras,premispras,ppr,pp,,pras,pre_mis,,premispras,target,r,,1,r,n,premispnas,0
incet,encet,pr,p,,cet,in,,incet,target,p,0.0,0,i,e,encet,1
edreemyl,edreemyl,prs,p,s,reem,ed,yl,edreemyl,control,p,0.0,0,e,a,adreemyl,0
marnoita,marnoita,rs,,s,mar,,noita,marnoita,control,s,0.0,0,n,m,marmoita,0
nuniluornoita,nuniluornoitu,pprs,pp,s,luor,nu_ni,noita,nuniluornoita,control,s,0.0,4,a,u,nuniluornoitu,1
erpedcolgci,erpedcomgci,pprs,pp,s,colg,erp_ed,ci,erpedcolgci,control,r,,2,l,m,erpedcomgci,1
remisteanly,remisteanly,pprs,pp,s,tean,re_mis,ly,remisteanly,target,r,,1,e,a,remistaanly,0
rieklufylssen,rieklufylssen,rsss,,sss,riek,,luf_yl_ssen,rieklufylssen,control,r,,0,r,m,mieklufylssen,0
nuazlufyl,nuazlufyl,rss,,ss,nuaz,,luf_yl,nuazlufyl,control,r,,0,n,m,muazlufyl,0
nunikooptnemla,nunikoiptnemla,pprss,pp,ss,koop,nu_ni,tnem_la,nunikooptnemla,control,r,,2,o,i,nunikoiptnemla,1
subrien,hubrien,pr,p,,rien,sub,,subrien,target,p,0.0,0,s,h,hubrien,1
trignoitala,grignoitala,rss,,ss,trig,,noita_la,trignoitala,control,r,,0,t,g,grignoitala,1
reinmeer,reinyeer,ppr,pp,,meer,re_in,,reinmeer,target,r,,0,m,y,reinyeer,1
werkelba,werkelba,rs,,s,werk,,elba,werkelba,control,s,0.0,2,b,f,werkelfa,0
maersuoissen,maersuoishen,rss,,ss,maer,,suoi_ssen,maersuoissen,control,s,1.0,1,s,h,maersuoishen,1
morfullyness,morfulryness,rsss,,sss,mor,,ful_ly_ness,morfullyness,target,s,1.0,0,l,r,morfulryness,1
orpnaetla,orpnaetla,prs,p,s,naet,orp,la,orpnaetla,control,p,0.0,0,o,e,erpnaetla,0
ertuoroyyl,ertuoroyyl,pprs,pp,s,roy,er_tuo,yl,ertuoroyyl,control,p,0.0,0,e,a,artuoroyyl,0
retnidobtnemlayl,retnidobhnemlayl,prsss,p,sss,dob,retni,tnem_la_yl,retnidobtnemlayl,control,s,0.0,0,t,h,retnidobhnemlayl,1
dismeerally,dismoerally,prss,p,ss,meer,dis,al_ly,dismeerally,target,r,,1,e,o,dismoerally,1
niroytnemlayl,niroytnemlayl,prsss,p,sss,roy,ni,tnem_la_yl,niroytnemlayl,control,p,0.0,0,n,m,miroytnemlayl,0
sidtnopnoita,sidtnopnoita,prs,p,s,tnop,sid,noita,sidtnopnoita,control,p,0.0,2,d,t,sittnopnoita,0
ertuomaerlufssen,ertuomaerlufssen,pprss,pp,ss,maer,er_tuo,luf_ssen,ertuomaerlufssen,control,r,,1,a,e,ertuomeerlufssen,0
reoverketfullyness,rioverketfullyness,pprsss,pp,sss,ket,re_over,ful_ly_ness,reoverketfullyness,target,p,0.0,1,e,i,rioverketfullyness,1
simromnoitala,bimromnoitala,prss,p,ss,rom,sim,noita_la,simromnoitala,control,p,0.0,0,s,b,bimromnoitala,1
