first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
deneezable,deneezablo,prs,p,s,neez,de,able,deneezable,target,s,0.0,3,e,o,deneezablo,1
prechanally,prechanally,prss,p,ss,chan,pre,al_ly,prechanally,target,p,0.0,1,r,w,pwechanally,0
lofice,lofece,rs,,s,lof,,ice,lofice,target,s,0.0,0,i,e,lofece,1
indrunenceless,andrunenceless,prss,p,ss,drun,in,ence_less,indrunenceless,target,p,0.0,0,i,a,andrunenceless,1
simnef,simnef,pr,p,,nef,sim,,simnef,control,p,0.0,0,s,k,kimnef,0
wrogpihs,wrogpihs,rs,,s,wrog,,pihs,wrogpihs,control,s,0.0,1,i,e,wrogpehs,0
bralelba,bralelda,rs,,s,bral,,elba,bralelba,control,s,0.0,2,b,d,bralelda,1
zurmful,zurwful,rs,,s,zurm,,ful,zurmful,target,r,,3,m,w,zurwful,1
inwast,ilwast,pr,p,,wast,in,,inwast,target,p,0.0,1,n,l,ilwast,1
edseremosssen,edsoremosssen,prss,p,ss,ser,ed,emos_ssen,edseremosssen,control,r,,1,e,o,edsoremosssen,1
nomelba,nomulba,rs,,s,nom,,elba,nomelba,control,s,0.0,0,e,u,nomulba,1
sererussel,sarerussel,rss,,ss,ser,,eru_ssel,sererussel,control,r,,1,e,a,sarerussel,1
ersimedyawi,ersimedyawi,pppr,ppp,,yawi,er_sim_ed,,ersimedyawi,control,p,1.0,2,m,r,ersiredyawi,0
keiriouslyness,keiriouslyness,rsss,,sss,keir,,ious_ly_ness,keiriouslyness,target,s,2.0,3,s,g,keiriouslynesg,0
mewciyl,mewciyl,rss,,ss,mew,,ci_yl,mewciyl,control,r,,0,m,l,lewciyl,0
ernusimtay,ernesimtay,pppr,ppp,,tay,er_nu_sim,,ernusimtay,control,p,1.0,1,u,e,ernesimtay,1
carp,tarp,r,,,carp,,,carp,target,r,,0,c,t,tarp,1
nadureless,nadureless,rss,,ss,nad,,ure_less,nadureless,target,r,,1,a,e,nedureless,0
noflyra,nofmyra,rs,,s,nofl,,yra,noflyra,control,r,,3,l,m,nofmyra,1
meinicfulness,meinihfulness,rsss,,sss,mein,,ic_ful_ness,meinicfulness,target,s,0.0,1,c,h,meinihfulness,1
inlasfuller,inlasfuller,prss,p,ss,las,in,full_er,inlasfuller,target,s,0.0,0,f,t,inlastuller,0
mruzlaylssen,mruzlaylssen,rsss,,sss,mruz,,la_yl_ssen,mruzlaylssen,control,s,0.0,0,l,m,mruzmaylssen,0
yatically,yatically,rsss,,sss,yat,,ic_al_ly,yatically,target,s,2.0,1,y,w,yaticallw,0
ersimedlew,erpimedlew,pppr,ppp,,lew,er_sim_ed,,ersimedlew,control,p,1.0,0,s,p,erpimedlew,1
edniem,edriem,pr,p,,niem,ed,,edniem,control,r,,0,n,r,edriem,1
