Word,Wordlength,Frequency,PercentileFrequency
cancel,6,60287,46.48648648648649
labour,6,58951,46.21621621621622
assist,6,57323,45.67567567567568
church,6,56630,45.13513513513514
stupid,6,53190,44.5945945945946
insult,6,17344,33.78378378378378
recipe,6,17152,33.24324324324324
tongue,6,17148,32.972972972972975
horror,6,16216,32.7027027027027
rocket,6,16193,32.432432432432435
devote,6,16187,32.16216216216216
castle,6,14925,31.351351351351354
cruise,6,14188,31.081081081081084
bullet,6,13674,30.270270270270274
puzzle,6,11463,28.37837837837838
peddle,6,1141,11.081081081081082
frivol,6,1140,10.81081081081081
mingle,6,1139,10.54054054054054
thing,5,1328712,100.0
about,5,1310534,99.72972972972974
write,5,938692,99.45945945945947
think,5,746094,98.64864864864866
serve,5,651056,98.10810810810811
where,5,607399,97.56756756756758
right,5,556722,97.2972972972973
state,5,451541,96.21621621621622
point,5,431824,95.94594594594595
group,5,401691,95.67567567567568
place,5,394083,95.40540540540542
verse,5,375470,94.86486486486487
drive,5,369466,94.5945945945946
start,5,367765,94.32432432432432
still,5,366293,94.05405405405406
great,5,353887,93.51351351351352
world,5,345235,92.70270270270271
press,5,340039,91.8918918918919
since,5,320454,91.62162162162163
while,5,298185,91.35135135135135
beast,5,291736,90.81081081081082
again,5,249680,89.1891891891892
check,5,247357,88.91891891891892
price,5,232103,88.10810810810811
probe,5,230747,87.83783783783784
issue,5,221311,87.56756756756758
organ,5,219606,87.2972972972973
sound,5,213436,86.75675675675676
money,5,212659,86.48648648648648
phone,5,207292,85.67567567567568
offer,5,206795,85.4054054054054
month,5,204828,85.13513513513514
least,5,201547,84.5945945945946
large,5,200996,84.32432432432432
agree,5,196641,83.78378378378379
small,5,191331,83.24324324324324
close,5,188225,82.43243243243244
black,5,186779,81.8918918918919
print,5,186720,81.62162162162163
allow,5,185956,81.35135135135135
child,5,185392,81.08108108108108
class,5,184646,80.81081081081082
above,5,177971,80.27027027027027
light,5,176000,80.0
three,5,175690,79.72972972972974
elect,5,175489,79.45945945945947
force,5,174868,78.91891891891892
value,5,171463,77.83783783783784
until,5,170311,77.2972972972973
level,5,170113,77.02702702702703
music,5,163742,76.48648648648648
disco,5,163318,76.21621621621622
board,5,163026,75.94594594594595
night,5,162292,75.67567567567568
white,5,162243,75.4054054054054
clear,5,160647,74.86486486486487
stall,5,156702,74.5945945945946
house,5,155845,74.32432432432432
limit,5,155817,74.05405405405406
quite,5,155011,73.78378378378379
cause,5,154667,73.51351351351352
claim,5,152055,73.24324324324324
stuff,5,146715,72.43243243243244
sense,5,144057,71.62162162162163
wrong,5,143655,71.08108108108108
stops,5,143437,70.81081081081082
story,5,142693,70.27027027027027
space,5,139965,69.72972972972974
learn,5,139889,69.45945945945947
prime,5,139856,69.1891891891892
major,5,138137,68.91891891891892
heard,5,135881,68.37837837837839
short,5,134285,68.10810810810811
whole,5,131881,67.56756756756756
color,5,127890,66.8918918918919
title,5,127240,66.48648648648648
speak,5,126284,65.94594594594595
video,5,125689,65.67567567567568
trade,5,124068,65.13513513513514
woman,5,123504,64.86486486486487
leave,5,122742,64.5945945945946
north,5,122624,64.32432432432432
build,5,121790,63.78378378378379
often,5,118292,63.24324324324325
event,5,117183,62.972972972972975
store,5,116434,62.70270270270271
mount,5,116277,62.432432432432435
total,5,116246,62.16216216216217
argue,5,113797,61.62162162162163
